,STATE,CountyNo,BelowUni,AboveUni
550,WI,79,40.28151607513428,59.718482971191406
551,IA,181,35.64011859893799,64.3598804473877
552,VA,683,41.07821464538574,58.92178726196289
553,MN,169,33.32805299758911,66.67194366455078
554,OH,17,41.27416229248047,58.72583770751953
555,PA,101,46.05329704284668,53.94670295715332
556,MO,1,43.96469974517822,56.035301208496094
557,KS,121,36.455026149749756,63.54497718811035
558,PR,51,46.8761043548584,53.1238956451416
559,AL,125,39.417290687561035,60.58271026611328
560,VA,790,39.71294593811035,60.28705406188965
561,IL,143,36.41222381591797,63.58777618408203
562,TX,39,36.18583583831787,63.81416702270508
563,MT,39,36.32718515396118,63.67281532287598
564,MN,171,34.64850568771362,65.35149383544922
565,GA,153,34.267799854278564,65.73219871520996
566,IN,141,40.15372371673584,59.84627723693848
567,NM,43,34.44343376159668,65.55656623840332
568,TX,381,31.24534034729004,68.75465965270996
569,FL,9,34.519936084747314,65.48006439208984
570,CA,23,32.380799293518066,67.61920166015625
571,ID,19,32.830087661743164,67.16991424560547
572,VA,125,50.87766742706299,49.12233352661133
573,VA,19,38.25570011138916,61.74429893493652
574,PA,77,43.17323017120361,56.82676887512207
575,WI,0,37.681655406951904,62.31834411621094
576,IA,125,38.577457427978516,61.422542572021484
577,NY,71,38.72067642211914,61.27932357788086
578,SC,63,37.89206886291504,62.10792922973633
579,KY,73,39.35303211212158,60.6469669342041
580,NE,159,33.59059143066406,66.40940856933594
581,VA,91,45.57260799407959,54.427391052246094
582,TX,0,40.34595203399658,59.654048919677734
583,FL,31,38.0355806350708,61.964420318603516
584,ND,0,32.99231243133545,67.00768852233887
585,MO,43,35.8307580947876,64.16924285888672
586,VT,5,42.00371265411377,57.99629020690918
587,UT,19,33.24926519393921,66.75073623657227
588,FL,86,44.91741943359375,55.08258056640625
589,PA,125,43.85106086730957,56.14893913269043
590,WY,33,32.28803634643555,67.71196365356445
591,FL,61,38.71058177947998,61.2894172668457
592,VA,145,40.564913749694824,59.43508529663086
593,FL,0,39.726059913635254,60.27393913269043
594,GA,133,43.86176681518555,56.13823318481445
595,OR,53,32.513174057006836,67.4868278503418
596,FL,89,40.731937408447266,59.268062591552734
597,WA,39,36.953086853027344,63.04691123962402
598,KS,15,35.15293264389038,64.8470687866211
599,ND,3,35.574491024017334,64.42550849914551
600,KS,25,29.937194347381592,70.06280326843262
